,time,open,high,low,close,tick_volume,spread,real_volume,piercing,dark_cloud,morning_star,evening_star,hammer,hanging_man,shooting_star,inverted_hammer,bullish_engulfing,morning_doji_star,evening_doji_star,belt_hold,counter_attack,doji,harami,harami_cross,three_black_crows,three_white_soldiers,advancing_block,stalled_pattern,unique_three_river,upside_gap_two_crows,tasuki_gap,separating_lines,rising_falling_three_methods
0,2022-08-09 02:45:00,1.01982,1.01983,1.01965,1.01978,214,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-08-09 03:00:00,1.01978,1.02009,1.01951,1.01975,647,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-08-09 03:15:00,1.01975,1.01987,1.01919,1.01923,357,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022-08-09 03:30:00,1.01921,1.01923,1.01895,1.01896,488,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-08-09 03:45:00,1.01896,1.01927,1.01889,1.01914,495,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-08-09 04:00:00,1.01915,1.01936,1.01903,1.01931,485,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022-08-09 04:15:00,1.01931,1.01935,1.01883,1.01921,526,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022-08-09 04:30:00,1.01921,1.0194,1.01905,1.0191,411,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-08-09 04:45:00,1.0191,1.0193,1.01906,1.01912,382,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-08-09 05:00:00,1.01911,1.01932,1.01892,1.01897,440,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2022-08-09 05:15:00,1.01898,1.01923,1.0189,1.01923,345,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2022-08-09 05:30:00,1.01922,1.01942,1.01912,1.01933,212,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2022-08-09 05:45:00,1.01933,1.01935,1.01916,1.01933,173,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
13,2022-08-09 06:00:00,1.01934,1.01964,1.01927,1.01962,421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2022-08-09 06:15:00,1.01963,1.01976,1.01955,1.01965,305,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
15,2022-08-09 06:30:00,1.01962,1.01971,1.01952,1.01954,217,8,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-08-09 06:45:00,1.01954,1.01965,1.0195,1.0196,347,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2022-08-09 07:00:00,1.0196,1.01962,1.01915,1.01928,293,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2022-08-09 07:15:00,1.01928,1.01943,1.01925,1.01931,322,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2022-08-09 07:30:00,1.0193,1.01941,1.01921,1.01931,285,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
20,2022-08-09 07:45:00,1.01931,1.01946,1.01931,1.0194,195,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2022-08-09 08:00:00,1.0194,1.0195,1.01928,1.01942,382,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
22,2022-08-09 08:15:00,1.0193699999999999,1.01954,1.01935,1.0195,374,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-08-09 08:30:00,1.0195,1.0197,1.01942,1.0197,420,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2022-08-09 08:45:00,1.01969,1.0201,1.01952,1.01999,444,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2022-08-09 09:00:00,1.01999,1.02078,1.01985,1.02068,889,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2022-08-09 09:15:00,1.02067,1.02097,1.0202,1.02034,693,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2022-08-09 09:30:00,1.02032,1.02079,1.02021,1.02047,564,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2022-08-09 09:45:00,1.02047,1.02075,1.02004,1.02052,687,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-08-09 10:00:00,1.02052,1.02071,1.01985,1.01985,900,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-08-09 10:15:00,1.01985,1.0202,1.01953,1.02016,930,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-08-09 10:30:00,1.02016,1.02096,1.02013,1.02058,1012,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-08-09 10:45:00,1.02057,1.02149,1.02045,1.02145,941,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-08-09 11:00:00,1.02145,1.02245,1.0213700000000001,1.02233,1447,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2022-08-09 11:15:00,1.02233,1.02308,1.02202,1.02302,1078,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2022-08-09 11:30:00,1.02302,1.02441,1.02299,1.02431,1080,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-08-09 11:45:00,1.02429,1.02448,1.02377,1.02394,951,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
37,2022-08-09 12:00:00,1.02392,1.02475,1.02392,1.02461,892,8,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2022-08-09 12:15:00,1.02462,1.02465,1.02354,1.02372,1162,8,0,0,0,0,0,0,0,0,0,-100,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-08-09 12:30:00,1.02373,1.02395,1.02309,1.02341,1019,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2022-08-09 12:45:00,1.02341,1.02403,1.02341,1.02379,723,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2022-08-09 13:00:00,1.0238,1.02402,1.02319,1.02337,825,8,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2022-08-09 13:15:00,1.02337,1.02352,1.02296,1.02305,693,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-08-09 13:30:00,1.02305,1.02339,1.02252,1.02323,791,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-08-09 13:45:00,1.02322,1.02322,1.02245,1.02251,822,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2022-08-09 14:00:00,1.02255,1.02296,1.02206,1.02206,683,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2022-08-09 14:15:00,1.02206,1.02268,1.02204,1.02236,832,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2022-08-09 14:30:00,1.0224,1.02307,1.02225,1.02258,731,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2022-08-09 14:45:00,1.02258,1.02258,1.02147,1.02198,1261,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2022-08-09 15:00:00,1.022,1.02343,1.022,1.02343,1119,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-08-09 15:15:00,1.0234,1.02371,1.02323,1.02355,853,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-08-09 15:30:00,1.02358,1.02372,1.02334,1.02345,972,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2022-08-09 15:45:00,1.02345,1.02426,1.02345,1.02374,910,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2022-08-09 16:00:00,1.02373,1.02435,1.0234,1.02388,851,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2022-08-09 16:15:00,1.02387,1.02427,1.0234,1.02402,887,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2022-08-09 16:30:00,1.02405,1.02442,1.02376,1.02419,1246,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2022-08-09 16:45:00,1.02419,1.02425,1.02341,1.02393,931,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-08-09 17:00:00,1.0239,1.02407,1.02346,1.02362,1081,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-08-09 17:15:00,1.02362,1.02374,1.02258,1.02274,1146,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2022-08-09 17:30:00,1.02272,1.02378,1.02262,1.02374,1377,8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-08-09 17:45:00,1.02375,1.02375,1.02193,1.02226,1989,8,0,0,0,0,0,0,0,0,0,-100,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2022-08-09 18:00:00,1.02225,1.02248,1.02193,1.02223,1139,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
62,2022-08-09 18:15:00,1.02223,1.023,1.02204,1.02233,757,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2022-08-09 18:30:00,1.02234,1.02255,1.02204,1.02242,657,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
64,2022-08-09 18:45:00,1.02242,1.02285,1.02242,1.02252,546,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2022-08-09 19:00:00,1.02252,1.02318,1.02246,1.02261,537,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2022-08-09 19:15:00,1.02262,1.02279,1.02228,1.02228,519,8,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2022-08-09 19:30:00,1.02226,1.02233,1.02147,1.02176,575,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-08-09 19:45:00,1.02176,1.02183,1.02151,1.02183,359,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
69,2022-08-09 20:00:00,1.02183,1.02201,1.0216,1.0218,561,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
70,2022-08-09 20:15:00,1.02179,1.02182,1.02157,1.02166,342,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-08-09 20:30:00,1.02166,1.02168,1.02116,1.0213,432,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-08-09 20:45:00,1.0213,1.02146,1.02113,1.02142,343,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2022-08-09 21:00:00,1.02141,1.02172,1.02141,1.02157,326,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2022-08-09 21:15:00,1.02156,1.02156,1.0204,1.0205,482,8,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2022-08-09 21:30:00,1.02046,1.0208,1.0204,1.02049,378,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
76,2022-08-09 21:45:00,1.0205,1.02072,1.02033,1.02048,480,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
77,2022-08-09 22:00:00,1.02048,1.02064,1.02025,1.0204,347,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-08-09 22:15:00,1.02041,1.02121,1.0204,1.02103,347,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2022-08-09 22:30:00,1.02103,1.0212,1.02051,1.02052,428,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2022-08-09 22:45:00,1.02052,1.02086,1.02042,1.0208,286,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2022-08-09 23:00:00,1.02081,1.02109,1.02077,1.02109,213,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2022-08-09 23:15:00,1.02109,1.02146,1.02108,1.0214,215,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2022-08-09 23:30:00,1.02138,1.02156,1.02131,1.02146,197,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2022-08-09 23:45:00,1.02147,1.02147,1.02112,1.02114,164,8,0,0,0,0,0,0,0,0,0,-100,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-08-10 00:00:00,1.02115,1.02121,1.02115,1.02121,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
86,2022-08-10 00:15:00,1.02121,1.02121,1.02073,1.02116,55,28,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
